Company Name,Industry,Symbol,Series,ISIN Code,Yahoo Symbol,Current Price (INR),1Y Return,Annualised Volatility,Maximum Drawdown,Price Observations,Price Start,Price End,Price Error,Trailing PE,Market Cap (INR),Market Cap (INR Crore),Yahoo Sector,Yahoo Industry,Currency,Fundamental Error,Fundamental As Of,Data Complete,Value Score,Momentum Score,Value Contribution,Momentum Contribution,Composite Score,Momentum Efficiency,Screen Result,Passed
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,ABB.NS,7248.0,0.24238571404538511,0.28735800275837414,-0.2269596065490177,250,2025-06-19,2026-06-19,,99.26048,1535911788544,153591.1788544,Industrials,Specialty Industrial Machinery,INR,,2026-06-19,True,7.291666666666667,73.95833333333334,3.28125,40.67708333333334,43.95833333333334,0.843497350756561,P/E above 30,False
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,ADANIENSOL.NS,1507.4000244140625,0.8302574904056377,0.37768622338304236,-0.2317799475832698,250,2025-06-19,2026-06-19,,80.8691,1810813550592,181081.3550592,Utilities,Utilities - Independent Power Producers,INR,,2026-06-19,True,10.416666666666668,97.91666666666666,4.687500000000001,53.854166666666664,58.541666666666664,2.198273166992395,P/E above 30,False
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,ADANIENT.NS,3038.39990234375,0.25578710816079386,0.34149879153262896,-0.3428485708823117,250,2025-06-19,2026-06-19,,41.28822,4168646918144,416864.6918144,Energy,Thermal Coal,INR,,2026-06-19,True,37.5,77.08333333333334,16.875,42.39583333333334,59.27083333333334,0.7490132161605448,P/E above 30,False
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,ADANIGREEN.NS,1502.4000244140625,0.6085653366317585,0.41962442265307465,-0.32925402819308713,250,2025-06-19,2026-06-19,,155.85062,2474717478912,247471.7478912,Utilities,Utilities - Renewable,INR,,2026-06-19,True,2.083333333333333,96.875,0.9374999999999999,53.28125000000001,54.21875000000001,1.4502619575479074,P/E above 30,False
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,ADANIPORTS.NS,1835.300048828125,0.3774549936160638,0.2691485990416403,-0.16978732689545983,250,2025-06-19,2026-06-19,,31.480276,4228456120320,422845.612032,Industrials,Marine Shipping,INR,,2026-06-19,True,52.083333333333336,88.54166666666666,23.4375,48.697916666666664,72.13541666666666,1.4024037091780193,P/E above 30,False
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,ADANIPOWER.NS,231.75999450683594,1.1599253300584058,0.42998763000981316,-0.2214544579913329,250,2025-06-19,2026-06-19,,35.062027,4469420982272,446942.0982272,Utilities,Utilities - Independent Power Producers,INR,,2026-06-19,True,46.875,100.0,21.09375,55.00000000000001,76.09375,2.697578369945047,P/E above 30,False
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,AMBUJACEM.NS,423.95001220703125,-0.20035934342405215,0.26589963382583076,-0.36290385314321527,250,2025-06-19,2026-06-19,,22.266281,1053438246912,105343.8246912,Basic Materials,Building Materials,INR,,2026-06-19,True,64.58333333333334,15.625,29.062500000000004,8.59375,37.65625,-0.7535149279494355,1Y return below 10%,False
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,APOLLOHOSP.NS,8489.5,0.21430223683372418,0.19935620541762156,-0.15208440978271498,250,2025-06-19,2026-06-19,,62.843292,1220659773440,122065.977344,Healthcare,Medical Care Facilities,INR,,2026-06-19,True,22.916666666666664,70.83333333333334,10.3125,38.95833333333334,49.27083333333334,1.0749714882704198,P/E above 30,False
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,ASIANPAINT.NS,2732.89990234375,0.20686295100122343,0.23786745405833,-0.2853966485335607,250,2025-06-19,2026-06-19,,60.636784,2619878932480,261987.893248,Basic Materials,Specialty Chemicals,INR,,2026-06-19,True,23.958333333333336,69.79166666666666,10.781250000000002,38.385416666666664,49.166666666666664,0.869656388345151,P/E above 30,False
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,AXISBANK.NS,1357.9000244140625,0.11627152493923121,0.23498175984279862,-0.1722736644133107,250,2025-06-19,2026-06-19,,16.06222,4223410372608,422341.0372608,Financial Services,Banks - Regional,INR,,2026-06-19,True,79.16666666666666,57.291666666666664,35.625,31.510416666666668,67.13541666666667,0.4948108526253959,Passed all filters,True
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,BAJAJ-AUTO.NS,10066.0,0.23191672729093704,0.21805611766562225,-0.13367955187626246,250,2025-06-19,2026-06-19,,26.169924,2811149418496,281114.9418496,Consumer Cyclical,Auto Manufacturers,INR,,2026-06-19,True,59.375,71.875,26.71875,39.53125,66.25,1.0635644153151866,Passed all filters,True
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,BAJAJFINSV.NS,1769.4000244140625,-0.10029371729276082,0.2251136385257559,-0.2502986420954233,250,2025-06-19,2026-06-19,,29.030354,2828400590848,282840.0590848,Financial Services,Financial Conglomerates,INR,,2026-06-19,True,54.166666666666664,21.875,24.375,12.031250000000002,36.40625,-0.4455248378089093,1Y return below 10%,False
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,BAJAJHLDNG.NS,10677.0,-0.20152117246430112,0.2828736271622392,-0.3948040437470275,250,2025-06-19,2026-06-19,,12.323123,1188280795136,118828.0795136,Financial Services,Asset Management,INR,,2026-06-19,True,86.45833333333334,14.583333333333334,38.90625000000001,8.020833333333334,46.92708333333334,-0.7124070719704131,1Y return below 10%,False
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,BAJFINANCE.NS,961.7999877929688,0.06807327905937677,0.2913713211635071,-0.2674222273840249,250,2025-06-19,2026-06-19,,31.513762,5980353462272,598035.3462272,Financial Services,Credit Services,INR,,2026-06-19,True,51.041666666666664,51.041666666666664,22.96875,28.072916666666668,51.04166666666667,0.23363067712891514,P/E above 30; 1Y return below 10%,False
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,BANKBARODA.NS,281.04998779296875,0.25244005911437495,0.2653457014812464,-0.23686238673575644,250,2025-06-19,2026-06-19,,7.322824,1453411270656,145341.1270656,Financial Services,Banks - Regional,INR,,2026-06-19,True,92.70833333333334,76.04166666666666,41.71875000000001,41.822916666666664,83.54166666666667,0.9513629114968588,Passed all filters,True
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,BEL.NS,426.8999938964844,0.07818840817081552,0.25527927476070095,-0.15628896900005051,250,2025-06-19,2026-06-19,,51.62031,3120544612352,312054.4612352,Industrials,Aerospace & Defense,INR,,2026-06-19,True,30.208333333333332,54.166666666666664,13.59375,29.791666666666668,43.38541666666667,0.3062857658308118,P/E above 30; 1Y return below 10%,False
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,BHARTIARTL.NS,1910.800048828125,0.026517904072456355,0.1970203173746758,-0.18768202316914562,250,2025-06-19,2026-06-19,,43.14292,11639584718848,1163958.4718848,Communication Services,Telecom Services,INR,,2026-06-19,True,34.375,40.625,15.46875,22.343750000000004,37.8125,0.13459476883303845,P/E above 30; 1Y return below 10%,False
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,BOSCHLTD.NS,40195.0,0.25839548314446237,0.2948356027862888,-0.3072659356548981,249,2025-06-19,2026-06-19,,42.716106,1185595785216,118559.5785216,Consumer Cyclical,Auto Parts,INR,,2026-06-19,True,36.45833333333333,79.16666666666666,16.40625,43.541666666666664,59.947916666666664,0.8764052940097604,P/E above 30,False
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,BPCL.NS,306.6000061035156,0.0421249344306831,0.2937684792390774,-0.30131342693315066,250,2025-06-19,2026-06-19,,5.0694447,1309974593536,130997.4593536,Energy,Oil & Gas Refining & Marketing,INR,,2026-06-19,True,98.95833333333334,43.75,44.53125000000001,24.062500000000004,68.59375000000001,0.14339501140420377,1Y return below 10%,False
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,BRITANNIA.NS,5195.0,-0.053062148670709464,0.2021287841420353,-0.19625426553448144,250,2025-06-19,2026-06-19,,49.293102,1251310698496,125131.0698496,Consumer Defensive,Packaged Foods,INR,,2026-06-19,True,32.29166666666667,29.166666666666668,14.531250000000002,16.041666666666668,30.57291666666667,-0.26251653813651227,P/E above 30; 1Y return below 10%,False
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,CANBK.NS,133.74000549316406,0.31711120448078245,0.290453867106958,-0.22324293713589782,250,2025-06-19,2026-06-19,,6.1546254,1213108977664,121310.8977664,Financial Services,Banks - Regional,INR,,2026-06-19,True,95.83333333333334,85.41666666666666,43.12500000000001,46.979166666666664,90.10416666666667,1.0917782146932409,Passed all filters,True
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,CGPOWER.NS,963.7000122070312,0.4486680942388479,0.31427387607303064,-0.33015652057888845,250,2025-06-19,2026-06-19,,124.993515,1517807468544,151780.7468544,Industrials,Electrical Equipment & Parts,INR,,2026-06-19,True,3.125,92.70833333333334,1.40625,50.98958333333334,52.39583333333334,1.4276340746011829,P/E above 30,False
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,CHOLAFIN.NS,1693.4000244140625,0.09779146783588577,0.3243616864993147,-0.24907881460342074,250,2025-06-19,2026-06-19,,27.383572,1443604070400,144360.40704,Financial Services,Credit Services,INR,,2026-06-19,True,57.291666666666664,55.208333333333336,25.78125,30.364583333333336,56.145833333333336,0.30148896095375427,1Y return below 10%,False
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,CIPLA.NS,1351.800048828125,-0.07071566068251289,0.20949899246918427,-0.28324111920220096,250,2025-06-19,2026-06-19,,28.12734,1092045307904,109204.5307904,Healthcare,Drug Manufacturers - Specialty & Generic,INR,,2026-06-19,True,56.25,26.041666666666668,25.3125,14.322916666666668,39.63541666666667,-0.33754654305993687,1Y return below 10%,False
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,COALINDIA.NS,451.29998779296875,0.2570686211889561,0.220628425223922,-0.10268780399439048,250,2025-06-19,2026-06-19,,8.943718,2781239312384,278123.9312384,Energy,Thermal Coal,INR,,2026-06-19,True,90.625,78.125,40.78125,42.96875,83.75,1.1651654628276022,Passed all filters,True
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,CUMMINSIND.NS,5865.0,0.8371008252601364,0.27289656122781175,-0.1460589275714278,250,2025-06-19,2026-06-19,,68.77345,1625778028544,162577.8028544,Industrials,Specialty Industrial Machinery,INR,,2026-06-19,True,19.791666666666664,98.95833333333334,8.90625,54.42708333333334,63.33333333333334,3.0674656415378267,P/E above 30,False
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,DIVISLAB.NS,6743.0,0.04323171284004723,0.22158213010083394,-0.18158425215875396,249,2025-06-19,2026-06-19,,69.75998,1790054629376,179005.4629376,Healthcare,Drug Manufacturers - Specialty & Generic,INR,,2026-06-19,True,17.708333333333336,44.79166666666667,7.968750000000001,24.63541666666667,32.60416666666667,0.19510469016781298,P/E above 30; 1Y return below 10%,False
DLF Ltd.,Realty,DLF,EQ,INE271C01023,DLF.NS,624.5,-0.25102056950442864,0.2773093156339625,-0.40564498678003624,250,2025-06-19,2026-06-19,,35.06457,1545832103936,154583.2103936,Real Estate,Real Estate - Development,INR,,2026-06-19,True,45.83333333333333,10.416666666666668,20.625,5.729166666666668,26.354166666666668,-0.9052006382496217,P/E above 30; 1Y return below 10%,False
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,DMART.NS,4286.89990234375,0.019937618124828527,0.24608995481552537,-0.24496299747452233,250,2025-06-19,2026-06-19,,93.62087,2796045467648,279604.5467648,Consumer Defensive,Discount Stores,INR,,2026-06-19,True,9.375,39.58333333333333,4.21875,21.770833333333332,25.989583333333332,0.08101760244449725,P/E above 30; 1Y return below 10%,False
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,DRREDDY.NS,1272.0999755859375,-0.03463703576895416,0.22683595853478206,-0.13197744114983034,250,2025-06-19,2026-06-19,,24.720171,1059282092032,105928.2092032,Healthcare,Drug Manufacturers - Specialty & Generic,INR,,2026-06-19,True,61.458333333333336,31.25,27.65625,17.1875,44.84375,-0.15269640665742626,1Y return below 10%,False
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,EICHERMOT.NS,7611.0,0.4034200880857841,0.2610316516651589,-0.19584859584859582,250,2025-06-19,2026-06-19,,37.988518,2089200779264,208920.0779264,Consumer Cyclical,Auto Manufacturers,INR,,2026-06-19,True,43.75,89.58333333333334,19.6875,49.27083333333334,68.95833333333334,1.5454834136485314,P/E above 30,False
Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ,INE1NPP01017,ENRIN.NS,3833.89990234375,0.40405482515001556,0.3595216662607569,-0.4106751967601665,250,2025-06-19,2026-06-19,,104.153755,1365330362368,136533.0362368,Utilities,Utilities - Renewable,INR,,2026-06-19,True,4.166666666666666,90.625,1.8749999999999998,49.84375000000001,51.71875000000001,1.123867802884957,P/E above 30,False
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015,ETERNAL.NS,264.29998779296875,0.0596583663429604,0.3401418769319812,-0.39133628062426207,250,2025-06-19,2026-06-19,,695.5263,2429945380864,242994.5380864,Consumer Cyclical,Internet Retail,INR,,2026-06-19,True,1.0416666666666665,50.0,0.46874999999999994,27.500000000000004,27.968750000000004,0.1753925946462934,P/E above 30; 1Y return below 10%,False
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,GAIL.NS,173.89999389648438,-0.0003066611252463547,0.24696870589108239,-0.2739482770089847,250,2025-06-19,2026-06-19,,15.082394,1143406329856,114340.6329856,Utilities,Utilities - Regulated Gas,INR,,2026-06-19,True,81.25,35.41666666666667,36.5625,19.47916666666667,56.04166666666667,-0.0012417003366475012,1Y return below 10%,False
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,GODREJCP.NS,1000.5999755859375,-0.1468904944485382,0.24247303517829957,-0.22896146862305067,250,2025-06-19,2026-06-19,,54.947834,1023858507776,102385.8507776,Consumer Defensive,Household & Personal Products,INR,,2026-06-19,True,27.083333333333332,17.708333333333336,12.1875,9.739583333333336,21.927083333333336,-0.6058013598935819,P/E above 30; 1Y return below 10%,False
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,GRASIM.NS,3149.5,0.1736808255718605,0.21485244171560244,-0.14452288524433243,250,2025-06-19,2026-06-19,,43.0436,2135905271808,213590.5271808,Basic Materials,Building Materials,INR,,2026-06-19,True,35.41666666666667,65.625,15.937500000000002,36.09375,52.03125,0.8083725936973976,P/E above 30,False
