Symbol,Company Name,Industry,Trailing PE,1Y Return,Market Cap (INR Crore),Screen Result,Price Error,Fundamental Error
ADANIPOWER,Adani Power Ltd.,Power,35.062027,1.1599253300584058,446942.0982272,P/E above 30,,
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,31.480276,0.3774549936160638,422845.612032,P/E above 30,,
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,39.765026,0.4857112905602492,153271.5204608,P/E above 30,,
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,37.988518,0.4034200880857841,208920.0779264,P/E above 30,,
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,5.0694447,0.0421249344306831,130997.4593536,1Y return below 10%,,
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,34.299065,0.28453091348175175,115759.6184576,P/E above 30,,
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,7.4757137,0.03187386543038029,309789.3797888,1Y return below 10%,,
POWERGRID,Power Grid Corporation of India Ltd.,Power,14.539801,0.05359286855734613,271810.1405696,1Y return below 10%,,
CUMMINSIND,Cummins India Ltd.,Capital Goods,68.77345,0.8371008252601364,162577.8028544,P/E above 30,,
RECLTD,REC Ltd.,Financial Services,5.74721,-0.02371665510883436,93571.612672,1Y return below 10%,,
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,42.716106,0.25839548314446237,118559.5785216,P/E above 30,,
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,41.28822,0.25578710816079386,416864.6918144,P/E above 30,,
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,69.35651,0.41514809620454485,149924.5576192,P/E above 30,,
ADANIENSOL,Adani Energy Solutions Ltd.,Power,80.8691,0.8302574904056377,181081.3550592,P/E above 30,,
LT,Larsen & Toubro Ltd.,Construction,36.039383,0.1738185599975164,579073.7891328,P/E above 30,,
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,27.383572,0.09779146783588577,144360.40704,1Y return below 10%,,
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,15.082394,-0.0003066611252463547,114340.6329856,1Y return below 10%,,
ADANIGREEN,Adani Green Energy Ltd.,Power,155.85062,0.6085653366317585,247471.7478912,P/E above 30,,
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,54.167713,0.24282666229539407,163615.6440576,P/E above 30,,
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,124.993515,0.4486680942388479,151780.7468544,P/E above 30,,
GRASIM,Grasim Industries Ltd.,Construction Materials,43.0436,0.1736808255718605,213590.5271808,P/E above 30,,
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,38.522633,0.12668854351751846,441069.7580544,P/E above 30,,
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,28.691687,0.05731525785263836,421142.2265344,1Y return below 10%,,
ENRIN,Siemens Energy India Ltd.,Capital Goods,104.153755,0.40405482515001556,136533.0362368,P/E above 30,,
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,40.90567,0.13930101266322614,116550.8214784,P/E above 30,,
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,31.513762,0.06807327905937677,598035.3462272,P/E above 30; 1Y return below 10%,,
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,20.203693,0.0015197288010515564,369210.3729152,1Y return below 10%,,
TITAN,Titan Company Ltd.,Consumer Durables,77.19001,0.2646778349228158,392065.1091968,P/E above 30,,
ICICIBANK,ICICI Bank Ltd.,Financial Services,18.02061,-0.03855338409958475,965675.4765824,1Y return below 10%,,
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,62.843292,0.21430223683372418,122065.977344,P/E above 30,,
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,60.636784,0.20686295100122343,261987.893248,P/E above 30,,
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,29.477142,0.04418832561249553,160330.612736,1Y return below 10%,,
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,56.269928,0.1839445986736501,179092.5733888,P/E above 30,,
