Overall Rank,Symbol,Company Name,Industry,Trailing PE,1Y Return,Market Cap (INR Crore),Annualised Volatility,Maximum Drawdown,Value Score,Momentum Score,Composite Score,Momentum Efficiency,Industry Rank,Selection Tier
1,CANBK,Canara Bank,Financial Services,6.1546254,0.31711120448078245,121310.8977664,0.290453867106958,-0.22324293713589782,95.83333333333334,85.41666666666666,90.10416666666667,1.0917782146932409,1,Top Quartile
2,UNIONBANK,Union Bank of India,Financial Services,6.90609,0.3009302663355671,134168.24832,0.3218017318033177,-0.21446583263220254,93.75,83.33333333333334,88.02083333333334,0.9351418485202339,2,Top Quartile
3,SBIN,State Bank of India,Financial Services,11.353516,0.3421956301084459,955461.1929088,0.22337084698613444,-0.2211005228820222,89.58333333333334,86.45833333333334,87.86458333333334,1.5319619132289337,3,Top Quartile
4,HINDALCO,Hindalco Industries Ltd.,Metals & Mining,16.771835,0.5863521016732303,225851.47392,0.2749805653562046,-0.17948346278432115,77.08333333333334,95.83333333333334,87.39583333333334,2.1323401561622397,1,Top Quartile
5,COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,8.943718,0.2570686211889561,278123.9312384,0.220628425223922,-0.10268780399439048,90.625,78.125,83.75,1.1651654628276022,1,Top Quartile
6,BANKBARODA,Bank of Baroda,Financial Services,7.322824,0.25244005911437495,145341.1270656,0.2653457014812464,-0.23686238673575644,92.70833333333334,76.04166666666666,83.54166666666667,0.9513629114968588,4,Top Quartile
7,SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,18.832706,0.5524795403448548,235738.5756672,0.35407338712594755,-0.21048343756903476,69.79166666666666,94.79166666666666,83.54166666666666,1.5603531935268893,5,Top Quartile
8,JSWSTEEL,JSW Steel Ltd.,Metals & Mining,14.113327,0.29628785823266646,314305.2558336,0.2312149897788631,-0.13353115981574115,84.375,82.29166666666666,83.22916666666666,1.2814387964899674,2,Top Quartile
9,HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,17.21815,0.31179920607560097,238117.84704,0.3638575303247108,-0.3294141964433981,76.04166666666666,84.375,80.625,0.8569266267413722,3,Top Quartile
10,PFC,Power Finance Corporation Ltd.,Financial Services,5.4911456,0.14551764463601913,142234.3798784,0.2709197796781873,-0.20755977314362273,97.91666666666666,64.58333333333334,79.58333333333334,0.5371244757723951,6,Top Quartile
11,MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,11.850266,0.1954543905584869,125503.0652928,0.35652007409222,-0.28771994071152307,88.54166666666666,68.75,77.65625,0.5482282899670028,7,Top Quartile
12,TATASTEEL,Tata Steel Ltd.,Metals & Mining,23.027777,0.3447888392486038,248139.9005184,0.26947644029137874,-0.1485245743852014,62.5,87.5,76.25,1.2794767471167108,4,Top Quartile
13,IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,4.6918545,0.10281639824132771,202540.908544,0.2583808094254801,-0.288036217735986,100.0,56.25,75.9375,0.397925830753236,2,Top Quartile
14,PNB,Punjab National Bank,Financial Services,6.798125,0.1184335952898814,125008.740352,0.27595281924425036,-0.24833792805470667,94.79166666666666,58.333333333333336,74.73958333333334,0.42918059548815074,8,Strong
15,NTPC,NTPC Ltd.,Power,12.017082,0.13756674816366044,354704.0579584,0.1866176857666172,-0.15138957643953765,87.5,60.416666666666664,72.60416666666667,0.7371581508930535,1,Strong
16,AXISBANK,Axis Bank Ltd.,Financial Services,16.06222,0.11627152493923121,422341.0372608,0.23498175984279862,-0.1722736644133107,79.16666666666666,57.291666666666664,67.13541666666667,0.4948108526253959,9,Strong
17,BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,26.169924,0.23191672729093704,281114.9418496,0.21805611766562225,-0.13367955187626246,59.375,71.875,66.25,1.0635644153151866,1,Strong
18,ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,21.394608,0.14000993805512896,107747.540992,0.21677242506785654,-0.17869924546717042,66.66666666666666,62.5,64.375,0.6458844477626777,1,Strong
